Approved Symbol	Approved Name	Previous Symbols	Synonyms	Name Synonyms	Pubmed IDs	CCDS IDs	UniProt ID(supplied by UniProt)
STT3A	STT3A, subunit of the oligosaccharyltransferase complex (catalytic)	ITM1	TMC, MGC9042, STT3-A	"dolichyl-diphosphooligosaccharide protein glycotransferase"	8941377, 8634329, 10234787	CCDS8458, CCDS60998	P46977
STT3A-AS1	STT3A antisense RNA 1						
STT3B	STT3B, subunit of the oligosaccharyltransferase complex (catalytic)		SIMP, FLJ90106, STT3-B	"source of immunodominant MHC associated peptides", "dolichyl-diphosphooligosaccharide protein glycotransferase"	12887896, 12439619	CCDS2650	Q8TCJ2
STUB1	STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase		UBOX1, CHIP, SDCCAG7, HSPABP2, NY-CO-7		10330192, 9610721	CCDS10419, CCDS76797	Q9UNE7
STX1A	syntaxin 1A (brain)	STX1	HPC-1, p35-1		1321498	CCDS34655, CCDS55120	Q16623
STX1B	syntaxin 1B	STX1B1, STX1B2				CCDS10699	P61266
STX2	syntaxin 2	STX2B, STX2C, STX2A, EPIM	EPM		8938452, 15943887	CCDS9269, CCDS9270	P32856
STX3	syntaxin 3	STX3A			16598260, 16339081	CCDS7975, CCDS53637	Q13277
STX4	syntaxin 4	STX4A	p35-2		8206394, 16339081	CCDS10700, CCDS61916	Q12846
STX5	syntaxin 5	STX5A	SED5		9188044, 11959998	CCDS8038, CCDS58140	Q13190
STX6	syntaxin 6				10080545	CCDS1341, CCDS65738	O43752
STX7	syntaxin 7				9358037	CCDS5153	O15400
STX8	syntaxin 8		CARB		9852078, 10198254	CCDS32565	Q9UNK0
STX8P1	syntaxin 8 pseudogene 1						
STX10	syntaxin 10		hsyn10, SYN10		9446797	CCDS32922, CCDS62569, CCDS62570, CCDS62571	O60499
STX11	syntaxin 11				9553086	CCDS5205	O75558
STX12	syntaxin 12		STX13, STX14		9507000	CCDS310	Q86Y82
STX16	syntaxin 16		hsyn16, SYN16		9464276, 9587053, 15800843	CCDS13468, CCDS13469, CCDS46619, CCDS46620, CCDS56199	O14662
STX16-NPEPL1	STX16-NPEPL1 readthrough (NMD candidate)						
STX17	syntaxin 17		FLJ20651		9852078	CCDS6745	P56962
STX17-AS1	STX17 antisense RNA 1						
STX18	syntaxin 18		Ufe1		10788491	CCDS3377	Q9P2W9
STX18-AS1	STX18 antisense RNA 1 (head to head)		LOC100507266		23708191		
STX18-IT1	STX18 intronic transcript 1						
STX18P1	syntaxin 18 pseudogene 1						
STX19	syntaxin 19		MGC21382		20545907	CCDS33793	Q8N4C7
STXBP1	syntaxin binding protein 1		hUNC18, MUNC18-1, UNC18, rbSec1	"syntaxin-binding protein 1"	9545644	CCDS6874, CCDS35146	P61764
STXBP2	syntaxin binding protein 2		UNC18B, Hunc18b		8921365	CCDS12181, CCDS45948, CCDS62522	Q15833
STXBP3	syntaxin binding protein 3		UNC-18C		10194441	CCDS790	O00186
STXBP4	syntaxin binding protein 4		Synip, MGC50337		12855681	CCDS11584	Q6ZWJ1
STXBP5	syntaxin binding protein 5 (tomosyn)		tomosyn, LLGL3		9620695, 14767561	CCDS5211, CCDS47499	Q5T5C0
STXBP5-AS1	STXBP5 antisense RNA 1						
STXBP5L	syntaxin binding protein 5-like		KIAA1006, LLGL4		10231032, 14767561	CCDS43137, CCDS77799	Q9Y2K9
STXBP6	syntaxin binding protein 6 (amisyn)		amisyn, HSPC156		12145319	CCDS9634	Q8NFX7
STYK1	serine/threonine/tyrosine kinase 1		SuRTK106, DKFZp761P1010, NOK		12841579	CCDS8629	Q6J9G0
STYX	serine/threonine/tyrosine interacting protein				7592916	CCDS9711	Q8WUJ0
STYXL1	serine/threonine/tyrosine interacting-like 1	DUSP24	MK-STYX		9757831	CCDS5580	Q9Y6J8
SUB1	SUB1 homolog, transcriptional regulator		PC4, p15, p14	"positive cofactor 4"	8062392, 8062391	CCDS3897	P53999
SUB1P1	SUB1 homolog, transcriptional regulator pseudogene 1						
SUB1P2	SUB1 homolog, transcriptional regulator pseudogene 2						
SUB1P3	SUB1 homolog, transcriptional regulator pseudogene 3						
SUB1P4	SUB1 homolog, transcriptional regulator pseudogene 4						
SUCLA2	succinate-CoA ligase, ADP-forming, beta subunit				9765291	CCDS9406	Q9P2R7
SUCLA2-AS1	SUCLA2 antisense RNA 1						
SUCLA2P1	succinate-CoA ligase, ADP-forming, beta subunit pseudogene 1	SUCLA2P	Em:AB014080.4				
SUCLA2P2	succinate-CoA ligase, ADP-forming, beta subunit pseudogene 2						
SUCLA2P3	succinate-CoA ligase, ADP-forming, beta subunit pseudogene 3						
SUCLG1	succinate-CoA ligase, alpha subunit				9128182	CCDS1967	P53597
SUCLG2	succinate-CoA ligase, GDP-forming, beta subunit				9765291	CCDS43104, CCDS54605	Q96I99
SUCLG2-AS1	SUCLG2 antisense RNA 1 (head to head)						
SUCLG2P1	succinate-CoA ligase, GDP-forming, beta subunit pseudogene 1						
SUCLG2P2	succinate-CoA ligase, GDP-forming, beta subunit pseudogene 2						
SUCLG2P3	succinate-CoA ligase, GDP-forming, beta subunit pseudogene 3						
SUCLG2P4	succinate-CoA ligase, GDP-forming, beta subunit pseudogene 4						
SUCNR1	succinate receptor 1	GPR91			11273702, 15141213, 17192395	CCDS3162	Q9BXA5
SUCO	SUN domain containing ossification factor	C1orf9	CH1, SLP1, OPT	"SUN-like protein 1", "osteopotentia"	10673381, 20440000	CCDS1303, CCDS65726, CCDS65727, CCDS72984	Q9UBS9
SUDS3	SDS3 homolog, SIN3A corepressor complex component		SDS3, FLJ00052, SAP45	"sin3A-associated protein, 45kDa"	11909966	CCDS44993	Q9H7L9
SUDS3P1	SDS3 homolog, SIN3A corepressor complex component pseudogene 1						
SUFU	suppressor of fused homolog (Drosophila)		SUFUH, SUFUXL, PRO1280		15367681	CCDS7537, CCDS53571	Q9UMX1
SUGCT	succinyl-CoA:glutarate-CoA transferase	C7orf10	FLJ11808, ORF19, DERP13	"Russel-Silver syndrome candidate", "dermal papilla derived protein 13"	11829489, 23893049	CCDS55105, CCDS55106, CCDS55104	Q9HAC7
SUGP1	SURP and G patch domain containing 1	SF4	F23858, DKFZp434E2216, RBP		12594045	CCDS12399	Q8IWZ8
SUGP2	SURP and G patch domain containing 2	SFRS14	KIAA0365		12594045	CCDS12392	Q8IX01
SUGT1	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone		SGT1		10445024, 20404110	CCDS9436, CCDS45050	Q9Y2Z0
SUGT1P1	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone pseudogene 1	SUGT1P	bA255A11.1, SGT1P, MGC15151				
SUGT1P2	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone pseudogene 2						
SUGT1P3	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone pseudogene 3	SUGT1L1					
SULF1	sulfatase 1		KIAA1077, SULF-1		12368295	CCDS6204	Q8IWU6
SULF2	sulfatase 2		KIAA1247, HSULF-2, SULF-2		12368295	CCDS13408, CCDS13409, CCDS13409	Q8IWU5
SULT1A1	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1	STP, STP1	P-PST		8288252, 8912648	CCDS10637, CCDS32420	P50225
SULT1A2	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2	STP2	HAST4		8661000, 8912648	CCDS10636	P50226
SULT1A3	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3	STM	TL-PST		8117269, 7829089	CCDS10674	P0DMM9
SULT1A4	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 4				15358107, 15752422	CCDS32427	P0DMN0
SULT1B1	sulfotransferase family, cytosolic, 1B, member 1		ST1B2		11688987, 9443824	CCDS3530	O43704
SULT1C2	sulfotransferase family, cytosolic, 1C, member 2	SULT1C1	ST1C1		9169148, 10783263	CCDS2075, CCDS2076	O00338
SULT1C2P1	sulfotransferase family, cytosolic, 1C, member 2 pseudogene 1		SULT1C1P		14676822		
SULT1C2P2	sulfotransferase family, cytosolic, 1C, member 2 pseudogene 2						
SULT1C3	sulfotransferase family, cytosolic, 1C, member 3				14676822, 17425406	CCDS33267	Q6IMI6
SULT1C4	sulfotransferase family, cytosolic, 1C, member 4	SULT1C2	SULT1C		10783263, 9852044	CCDS2077	O75897
SULT1D1P	sulfotransferase family, cytosolic, 1D, member 1, pseudogene		SULT1D1	"tyrosine-ester sulfotransferase", "amine N-sulfotransferase"	11688987, 14676822		
SULT1E1	sulfotransferase family 1E, estrogen-preferring, member 1	STE	EST		7961757	CCDS3531	P49888
SULT2A1	sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1	STD	DHEA-ST		1588921, 7736787	CCDS12707	Q06520
SULT2B1	sulfotransferase family, cytosolic, 2B, member 1		HSST2		9799594	CCDS12723, CCDS12724	O00204
SULT4A1	sulfotransferase family 4A, member 1		SULTX3, hBR-STL-1		10698717	CCDS14051	Q9BR01
SULT6B1	sulfotransferase family, cytosolic, 6B, member 1				14676822	CCDS33182	Q6IMI4
SUMF1	sulfatase modifying factor 1		FGE, UNQ3037		12757705, 12757706	CCDS2564, CCDS54548, CCDS54549	Q8NBK3
SUMF2	sulfatase modifying factor 2		DKFZp566I1024		12757706	CCDS5524, CCDS43588, CCDS43589, CCDS47589, CCDS55111	Q8NBJ7
SUMO1	small ubiquitin-like modifier 1	UBL1	PIC1, GMP1, SMT3C, SUMO-1, SMT3H3, OFC10		8812453, 8906799	CCDS2352, CCDS46493	P63165
SUMO1P1	SUMO1 pseudogene 1	UBL2, UBL6	PIC1L		12383504, 9465300		
SUMO1P2	SUMO1 pseudogene 2				12383504, 9465300		
SUMO1P3	SUMO1 pseudogene 3 (functional)				12383504, 9465300, 23996296		
SUMO1P4	SUMO1 pseudogene 4				12383504, 9465300		
SUMO1P5	SUMO1 pseudogene 5				12383504, 9465300		
SUMO2	small ubiquitin-like modifier 2	SMT3H2	SMT3B		8630065	CCDS45773, CCDS45774	P61956
SUMO2P1	SUMO2 pseudogene 1	SMT3H2P, SUMO2P	SMT3Bp, dJ271M21				
SUMO2P2	SUMO2 pseudogene 2						
SUMO2P3	SUMO2 pseudogene 3						
SUMO2P4	SUMO2 pseudogene 4						
SUMO2P5	SUMO2 pseudogene 5						
SUMO2P6	SUMO2 pseudogene 6						
SUMO2P7	SUMO2 pseudogene 7						
SUMO2P8	SUMO2 pseudogene 8						
SUMO2P10	SUMO2 pseudogene 10						
SUMO2P11	SUMO2 pseudogene 11						
SUMO2P12	SUMO2 pseudogene 12						
SUMO2P13	SUMO2 pseudogene 13						
SUMO2P14	SUMO2 pseudogene 14						
SUMO2P15	SUMO2 pseudogene 15						
SUMO2P16	SUMO2 pseudogene 16						
SUMO2P17	SUMO2 pseudogene 17						
SUMO2P18	SUMO2 pseudogene 18						
SUMO2P19	SUMO2 pseudogene 19						
SUMO2P20	SUMO2 pseudogene 20						
SUMO3	small ubiquitin-like modifier 3	SMT3H1	SMT3A		9119407	CCDS33587, CCDS68220	P55854
SUMO4	small ubiquitin-like modifier 4	SMT3H4, IDDM5	dJ281H8.4		15123604	CCDS34549	Q6EEV6
SUN1	Sad1 and UNC84 domain containing 1	UNC84A	KIAA0810, FLJ12407	"Sad1 unc-84 domain protein 1"	11593002	CCDS43533, CCDS47525, CCDS55078, CCDS55079, CCDS55080	O94901
SUN2	Sad1 and UNC84 domain containing 2	UNC84B			10508607, 10375507	CCDS13978, CCDS56231	Q9UH99
SUN3	Sad1 and UNC84 domain containing 3	SUNC1	MGC33329			CCDS34636, CCDS64647	Q8TAQ9
SUN5	Sad1 and UNC84 domain containing 5	SPAG4L	dJ726C3.1, TSARG4	"testis and spermatogenesis related gene 4"	9691178, 10373309	CCDS13209	Q8TC36
SUOX	sulfite oxidase				7599189	CCDS8901	P51687
SUPT3H	SPT3 homolog, SAGA and STAGA complex component		SPT3, SPT3L		9674425, 9726987	CCDS34465, CCDS34466, CCDS75464	O75486
SUPT4H1	SPT4 homolog, DSIF elongation factor subunit	SUPT4H	SPT4H, Spt4, Supt4a		8786137, 10075709	CCDS11606	P63272
SUPT4H1P1	SPT4 homolog, DSIF elongation factor subunit pseudogene	SUPT4H1P					
SUPT4H1P2	SPT4 homolog, DSIF elongation factor subunit pseudogene 2						
SUPT5H	SPT5 homolog, DSIF elongation factor subunit		SPT5H, SPT5, FLJ34157		8975720, 10075709	CCDS12536, CCDS46072	O00267
SUPT6H	SPT6 homolog, histone chaperone		KIAA0162, SPT6H		8786132, 23503590	CCDS32596	Q7KZ85
SUPT7L	SPT7-like STAGA complex gamma subunit		STAF65gamma, KIAA0764, SPT7L, STAF65		11564863, 24852358	CCDS42667, CCDS62885, CCDS62886	O94864
SUPT16H	SPT16 homolog, facilitates chromatin remodeling subunit		FACT, FACTP140, SPT16/CDC68, FLJ14010, FLJ10857, CDC68	"facilitates chromatin remodeling 140 kDa subunit"	9489704, 11239457	CCDS9569	Q9Y5B9
SUPT16HP1	SPT16 homolog, facilitates chromatin remodeling subunit pseudogene 1	SUPT16HP	bcm670				
SUPT20H	SPT20 homolog, SAGA complex component	C13orf19, FAM48A	SPT20, bA421P11.4, P38IP	"p38 interacting protein", "transcription factor (p38 interacting protein)"	12070015, 16685401, 19114550	CCDS9362, CCDS31959, CCDS61311	Q8NEM7
SUPT20HL1	SPT20 homolog, SAGA complex component-like 1	FAM48B1	SPT20L	"similar to transcription factor (p38 interacting protein)"	19114550		Q3ZLR7
SUPT20HL2	SPT20 homolog, SAGA complex component-like 2	FAM48B2					P0C7V6
SUPV3L1	SUV3-like helicase		SUV3		9925937, 16176273, 25446650	CCDS7287	Q8IYB8
SURF1	surfeit 1			"surfeit locus protein 1"	8499913, 9843204	CCDS6966, CCDS75928	Q15526
SURF2	surfeit 2			"surfeit locus protein 2"		CCDS6967	Q15527
SURF4	surfeit 4		ERV29, FLJ22993, MGC102753	"surfeit locus protein 4", "surface 4 integral membrane protein"	8499913, 7540914	CCDS6968, CCDS65177, CCDS65178, CCDS75929	O15260
SURF6	surfeit 6		FLJ30322, RRP14	"surfeit locus protein 6"	9740673, 15629442	CCDS6962	O75683
SURF6P1	surfeit 6 pseudogene 1						
SUSD1	sushi domain containing 1		DKFZP761E1824		12975309	CCDS6783, CCDS65105, CCDS65106	Q6UWL2
SUSD2	sushi domain containing 2		BK65A6.2, FLJ22778		12477932	CCDS13824	Q9UGT4
SUSD2P1	sushi domain containing 2 pseudogene 1						
SUSD2P2	sushi domain containing 2 pseudogene 2						
SUSD3	sushi domain containing 3		MGC26847		12975309	CCDS6701, CCDS69620, CCDS75857	Q96L08
SUSD4	sushi domain containing 4		FLJ10052		12477932	CCDS31034, CCDS41471	Q5VX71
SUSD5	sushi domain containing 5		KIAA0527			CCDS46787	O60279
SUSD6	sushi domain containing 6	KIAA0247			9039502	CCDS9796	Q92537
SUV39H1	suppressor of variegation 3-9 homolog 1 (Drosophila)	SUV39H	KMT1A		10202156	CCDS14304, CCDS65252	O43463
SUV39H2	suppressor of variegation 3-9 homolog 2 (Drosophila)		FLJ23414, KMT1B		11094092	CCDS7104, CCDS53493, CCDS53494	Q9H5I1
SUV420H1	suppressor of variegation 4-20 homolog 1 (Drosophila)		CGI-85, KMT5B		10810093, 11401438	CCDS31623, CCDS44660, CCDS76444	Q4FZB7
SUV420H2	suppressor of variegation 4-20 homolog 2 (Drosophila)		MGC2705, KMT5C		19486527	CCDS12922	Q86Y97
SUZ12	SUZ12 polycomb repressive complex 2 subunit		JJAZ1, KIAA0160, CHET9		8590280, 11371647, 18784248	CCDS11270	Q15022
SUZ12P1	SUZ12 polycomb repressive complex 2 subunit pseudogene 1	SUZ12P			17999360		
SUZ12P2	SUZ12 polycomb repressive complex 2 subunit pseudogene 2						
SV2A	synaptic vesicle glycoprotein 2A		SV2, KIAA0736		7681585, 10611374	CCDS940	Q7L0J3
SV2B	synaptic vesicle glycoprotein 2B		KIAA0735, HsT19680		9872452, 7681585	CCDS10370, CCDS53972	Q7L1I2
SV2C	synaptic vesicle glycoprotein 2C				10470851, 9801366	CCDS43331, CCDS75261	Q496J9
SVBP	small vasohibin binding protein	CCDC23	MGC45441		20736312	CCDS474	Q8N300
SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	C9orf13	bA427L11.3, POLYDOM, FLJ13529			CCDS48004	Q4LDE5
SVIL	supervillin			"archvillin"	9382871	CCDS7163, CCDS7164	O95425
SVIL-AS1	SVIL antisense RNA 1						
SVILP1	supervillin pseudogene 1						
SVIP	small VCP/p97-interacting protein		DKFZp313A2432		18793143, 17872946, 12529442	CCDS41627	Q8NHG7
SVOP	SV2 related protein		DKFZp761H039		9801366, 19390693, 21953179	CCDS73520	Q8N4V2
SVOPL	SVOP-like		MGC46715			CCDS5848, CCDS47721	Q8N434
SWAP70	SWAP switching B-cell complex 70kDa subunit		KIAA0640, SWAP-70		9734811, 10681448	CCDS31426, CCDS73257	Q9UH65
SWI5	SWI5 homologous recombination repair protein	C9orf119	bA395P17.9, SAE3		20976249, 21252223	CCDS43883	Q1ZZU3
SWSAP1	SWIM-type zinc finger 7 associated protein 1	C19orf39	FLJ35119, ZSWIM7AP1, SWS1AP1	"zinc finger, SWIM-type containing 7 associated protein 1", "SWS1-associated protein 1"	21965664	CCDS12259	Q6NVH7
SWT1	SWT1 RNA endoribonuclease homolog	C1orf26	FLJ20121, HsSwt1		11318611, 19127978, 23768067	CCDS1367	Q5T5J6
SYAP1	synapse associated protein 1		FLJ14495, PRO3113	"SAP47 homolog (Drosophila)"	11483580	CCDS14177	Q96A49
SYBU	syntabulin (syntaxin-interacting)		FLJ20366, GOLSYN, KIAA1472, OCSYN, SNPHL	"syntaphilin-like"	17611281, 16750881, 16157705, 15656992, 15459722	CCDS43763, CCDS43764, CCDS47912, CCDS55271	Q9NX95
SYCE1	synaptonemal complex central element protein 1	C10orf94	bA108K14.6, CT76	"cancer/testis antigen 76"	11829491	CCDS7687, CCDS44500, CCDS44501	Q8N0S2
SYCE1L	synaptonemal complex central element protein 1-like		MRP2	"meiosis-related protein"	16328886	CCDS45533	A8MT33
SYCE2	synaptonemal complex central element protein 2		CESC1	"central element synaptonemal complex 1"	15944401	CCDS42509	Q6PIF2
SYCE3	synaptonemal complex central element protein 3	C22orf41		"testis highly expressed protein 2"	21637789	CCDS46733	A1L190
SYCN	syncollin	INSSA1	SYL, FLJ27441		11839820	CCDS46070	Q0VAF6
SYCP1	synaptonemal complex protein 1		HOM-TES-14, SCP1, CT8	"cancer/testis antigen 8"	9560255	CCDS879, CCDS72840	Q15431
SYCP2	synaptonemal complex protein 2		SCP2		10341103, 9592139	CCDS13482	Q9BX26
SYCP2L	synaptonemal complex protein 2-like	C6orf177	dJ62D2.1, NO145			CCDS43423	Q5T4T6
SYCP3	synaptonemal complex protein 3				12213195, 10854409	CCDS9087	Q8IZU3
SYDE1	synapse defective 1, Rho GTPase, homolog 1 (C. elegans)		7h3, FLJ13511		12477932	CCDS12324, CCDS74299	Q6ZW31
SYDE2	synapse defective 1, Rho GTPase, homolog 2 (C. elegans)		FLJ13815			CCDS44169	Q5VT97
SYF2	SYF2 pre-mRNA-splicing factor	CBPIN	p29, DKFZp564O2082, NTC31, fSAP29	"functional spliceosome-associated protein 29"	11118353	CCDS258, CCDS259	O95926
SYF2P1	SYF2 pre-mRNA-splicing factor pseudogene 1	CBPINP, SYF2P					
SYF2P2	SYF2 pre-mRNA-splicing factor pseudogene 2						
SYK	spleen tyrosine kinase				8082894, 1423621	CCDS6688, CCDS47992	P43405
SYM2	symphalangism 2 (distal)				3436086, 2061594		
SYMPK	symplekin		SYM, SPK		9330635	CCDS12676	Q92797
SYN1	synapsin I					CCDS14280, CCDS35233	P17600
SYN2	synapsin II		SYNII, SYNIIa, SYNIIb		8530057	CCDS74900, CCDS74901	Q92777
SYN3	synapsin III				9539796	CCDS13908	O14994
SYNC	syncoilin, intermediate filament protein	SYNC1	SYNCOILIN		11053421	CCDS367, CCDS53294	Q9H7C4
SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein		NSAP1, GRY-RBP, dJ3J17.2, HNRPQ1, hnRNP-Q, HNRNPQ	"heterogeneous nuclear ribonucleoprotein Q"	9847309, 11352648	CCDS5005, CCDS55041, CCDS75491	O60506
SYNDIG1	synapse differentiation inducing 1	C20orf39, TMEM90B	FLJ14220, IFITMD5, SynDIG1	"interferon induced transmembrane protein domain containing 5", "synapse differentiation induced gene 1"	20152115	CCDS13164	Q9H7V2
SYNDIG1L	synapse differentiation inducing 1-like	TMEM90A	capucin, IFITMD4	"caudate-and putamen-enriched sequence", "interferon induced transmembrane protein domain containing 4"	16359841	CCDS41970	A6NDD5
SYNE1	spectrin repeat containing, nuclear envelope 1	C6orf98	SYNE-1B, KIAA0796, 8B, Nesprin-1, enaptin, MYNE1, CPG2, dJ45H2.2, SCAR8, ARCA1, Nesp1	"myocyte nuclear envelope protein 1", "nuclear envelope spectrin repeat-1"	9872452, 10878022	CCDS5235, CCDS5236, CCDS5236	Q8NF91
SYNE1-AS1	SYNE1 antisense RNA 1						
SYNE2	spectrin repeat containing, nuclear envelope 2		SYNE-2, DKFZP434H2235, Nesprin-2, NUANCE, NUA, KIAA1011, Nesp2	"nuclear envelope spectrin repeat-2", "nucleus and actin connecting element"	10231032, 10878022	CCDS9761, CCDS41963, CCDS45124, CCDS45125	Q8WXH0
SYNE3	spectrin repeat containing, nuclear envelope family member 3	C14orf49	FLJ25605, NET53, Nesprin-3, Nesp3			CCDS9935	Q6ZMZ3
SYNE4	spectrin repeat containing, nuclear envelope family member 4	C19orf46, DFNB76	FLJ36445, Nesprin-4, Nesp4		23348741	CCDS42553, CCDS77285	Q8N205
SYNGAP1	synaptic Ras GTPase activating protein 1		SYNGAP, RASA5, KIAA1938		9581761, 18323856	CCDS34434	Q96PV0
SYNGR1	synaptogyrin 1				9760194, 10595519	CCDS13989, CCDS13990, CCDS13991	O43759
SYNGR2	synaptogyrin 2			"cellugyrin"	9760194	CCDS11753	O43760
SYNGR2P1	synaptogyrin 2 pseudogene 1	SYNGR2P			9760194		
SYNGR2P2	synaptogyrin 2 pseudogene 2						
SYNGR3	synaptogyrin 3				9760194	CCDS10456	O43761
SYNGR4	synaptogyrin 4					CCDS12717	O95473
SYNJ1	synaptojanin 1		INPP5G, PARK20	"phosphoinositide 5-phosphatase", "synaptic inositol 1,4,5-trisphosphate 5-phosphatase 1", "inositol polyphosphate-5-phosphatase G"	9428629, 10773674, 24609975, 14704270	CCDS33539, CCDS33540, CCDS33539, CCDS33540, CCDS54483, CCDS54484	O43426
SYNJ2	synaptojanin 2		INPP5H	"synaptic inositol 1,4,5-trisphosphate 5-phosphatase 2", "phosphoinositide 5-phosphatase", "inositol polyphosphate-5-phosphatase H"	23076136	CCDS5254	O15056
SYNJ2-IT1	SYNJ2 intronic transcript 1						
SYNJ2BP	synaptojanin 2 binding protein		Arip2	"activin receptor interacting protein 5"	11882656	CCDS9803	P57105
SYNJ2BP-COX16	SYNJ2BP-COX16 readthrough					CCDS73648	
SYNM	synemin, intermediate filament protein	DMN	KIAA0353, SYN	"synemin alpha", "synemin beta"	11737198, 11454237	CCDS73786, CCDS73787	O15061
SYNPO	synaptopodin		KIAA1029		9314539, 10470851	CCDS4308, CCDS54937, CCDS54938	Q8N3V7
SYNPO2	synaptopodin 2		MYOPODIN		11673475, 17828378	CCDS34054, CCDS47128, CCDS47129, CCDS75185, CCDS75186	Q9UMS6
SYNPO2L	synaptopodin 2-like		FLJ12921			CCDS7331, CCDS44438	Q9H987
SYNPR	synaptoporin		MGC26651, SPO		8034131, 12974474	CCDS46859, CCDS46860	Q8TBG9
SYNPR-AS1	SYNPR antisense RNA 1						
SYNRG	synergin, gamma	AP1GBP1	SYNG, MGC104959	"gamma-synergin", "adaptor-related protein complex 1 gamma subunit-binding protein 1"	10477754	CCDS11321, CCDS11322, CCDS11322, CCDS54113, CCDS54114, CCDS59284, CCDS59285	Q9UMZ2
SYP	synaptophysin		MRX96		3120152, 19377476	CCDS14321	P08247
SYP-AS1	SYP antisense RNA 1						
SYPL1	synaptophysin-like 1	SYPL				CCDS5736, CCDS47685	Q16563
SYPL2	synaptophysin-like 2		Mg29	"mitsugumin-29"	12975309	CCDS41365	Q5VXT5
SYS1	Sys1 golgi trafficking protein	C20orf169	dJ453C12.4		15077113	CCDS13351, CCDS56192	Q8N2H4
SYS1-DBNDD2	SYS1-DBNDD2 readthrough (NMD candidate)						
SYT1	synaptotagmin I	SYT, SVP65	P65		1840599	CCDS9017, CCDS76582	P21579
SYT2	synaptotagmin II				7749232	CCDS1427	Q8N9I0
SYT3	synaptotagmin III				7749232	CCDS12798	Q9BQG1
SYT4	synaptotagmin IV		KIAA1342, HsT1192		8058779	CCDS11922	Q9H2B2
SYT5	synaptotagmin V			"synaptotagmin 5"	9177789	CCDS12919, CCDS74455	O00445
SYT6	synaptotagmin VI				11543631	CCDS871	Q5T7P8
SYT7	synaptotagmin VII	PCANAP7	IPCA-7, SYT-VII, MGC150517		9615227	CCDS31577, CCDS58139, CCDS73298	O43581
SYT8	synaptotagmin VIII		DKFZp434K0322		7791877	CCDS7726	Q8NBV8
SYT9	synaptotagmin IX				11543631	CCDS7778	Q86SS6
SYT10	synaptotagmin X					CCDS8732	Q6XYQ8
SYT11	synaptotagmin XI		KIAA0080, MGC10881, MGC17226, DKFZp781D015		11543631	CCDS1122	Q9BT88
SYT12	synaptotagmin XII		SRG1		8987811	CCDS8154	Q8IV01
SYT13	synaptotagmin XIII		KIAA1427		11171101	CCDS31470	Q7L8C5
SYT14	synaptotagmin XIV		sytXIV, FLJ34198			CCDS31014, CCDS53470, CCDS58058, CCDS53469	Q8NB59
SYT14P1	synaptotagmin XIV pseudogene 1	SYT14L	SYTDEP, CHR415SYT		16376304		Q58G82
SYT15	synaptotagmin XV		CHR10SYT		11543631	CCDS73103, CCDS73104	Q9BQS2
SYT16	synaptotagmin XVI	SYT14L	yt14r, CHR14SYT, Strep14	"synaptotagmin XIV-related", " chr14 synaptotagmin"	11543631	CCDS45121	Q17RD7
SYT17	synaptotagmin XVII			"B/K protein"	10493829	CCDS10575, CCDS76835	Q9BSW7
SYTL1	synaptotagmin-like 1		SLP1, JFC1, FLJ14996, exophilin-7		12137562	CCDS298, CCDS53286	Q8IYJ3
SYTL2	synaptotagmin-like 2		FLJ20163, FLJ21219, KIAA1597, exophilin-4, CHR11SYT, SLP2, SGA72M, MGC102768, PPP1R151	"chromosome 11 synaptotagmin", "breast cancer-associated antigen SGA-72M", "protein phosphatase 1, regulatory subunit 151"	10997877	CCDS31649, CCDS31652, CCDS41698, CCDS53687, CCDS53688, CCDS53689, CCDS76461	Q9HCH5
SYTL3	synaptotagmin-like 3		SLP3, exophilin-6		11773082	CCDS34563, CCDS56458	Q4VX76
SYTL4	synaptotagmin-like 4			"granuphilin-a", "exophilin-2"		CCDS14472	Q96C24
SYTL5	synaptotagmin-like 5			"exophilin 9"		CCDS14244, CCDS55399	Q8TDW5
SYVN1	synovial apoptosis inhibitor 1, synoviolin		HRD1, DER3	"HMG-coA reductase degradation 1 homolog (S. cerevisiae)"	12975321	CCDS8097, CCDS31605	Q86TM6
SZRD1	SUZ RNA binding domain containing 1	C1orf144	DKFZp566C0424		12761501	CCDS44065, CCDS60000	Q7Z422
SZT2	seizure threshold 2 homolog (mouse)	C1orf84, KIAA0467	FLJ10387, SZT2B, RP11-506B15.1, FLJ34502, SZT2A	"seizure threshold 2 homolog A (mouse)", "seizure threshold 2 homolog B (mouse)"	9455484	CCDS30694, CCDS30694	Q5T011
SZT2-AS1	SZT2 antisense RNA 1						
T	T brachyury transcription factor				8963900	CCDS5290, CCDS59045	O15178
